Version	GMID-X v 1.2
Chemistry Kit	Investigator_Panels_v9x
BinSet Name	Investigator_Bins_v9xPanel Name	Argus_X12_QS_Panels_v3			
Marker Name	QS1			
22.1	240.0	0.4	0.5	
23	243.0	0.5	0.4	virtual
23.1	244.0	0.4	0.5	
24	247.0	0.5	0.4	virtual
24.1	248.0	0.4	0.5	
25	251.0	0.5	0.4	virtual
25.1	252.0	0.4	0.5	
26	255.0	0.5	0.4	virtual
26.1	256.0	0.4	0.5	
27	259.0	0.5	0.4	virtual
27.1	260.0	0.4	0.4	
27.2	261.0	0.4	0.5	virtual
28	263.0	0.5	0.4	virtual
28.1	264.0	0.4	0.4	
28.2	265.0	0.4	0.5	virtual
29	267.0	0.5	0.4	virtual
29.1	268.0	0.4	0.5	
30	271.0	0.5	0.4	virtual
30.1	272.0	0.4	0.5	
31	275.0	0.5	0.4	
31.1	276.0	0.4	0.5	virtual
33.1	284.0	0.5	0.5	
38.1	304.0	0.5	0.5	
Marker Name	D21S11			
24	332.0	0.5	0.5	
24.2	334.0	0.5	0.5	
25	336.0	0.5	0.5	
25.2	338.0	0.5	0.5	virtual
26	340.0	0.5	0.5	
26.2	342.0	0.5	0.5	
27	344.0	0.5	0.5	
28	348.0	0.5	0.5	
28.2	350.0	0.5	0.4	
28.3	351.0	0.4	0.4	virtual
29	352.0	0.4	0.5	
29.2	354.0	0.5	0.4	
29.3	355.0	0.4	0.4	virtual
30	356.0	0.4	0.5	
30.2	358.0	0.5	0.5	virtual
31	360.0	0.5	0.5	
31.2	362.0	0.5	0.5	
32	364.0	0.5	0.5	
32.2	366.0	0.5	0.5	
33	368.0	0.5	0.4	
33.1	369.0	0.4	0.4	virtual
33.2	370.0	0.4	0.5	
34	372.0	0.5	0.4	
34.1	373.0	0.4	0.4	virtual
34.2	374.0	0.4	0.5	
35	376.0	0.5	0.5	
35.2	378.0	0.5	0.5	virtual
36	380.0	0.5	0.5	
36.2	382.0	0.5	0.5	
37	384.0	0.5	0.5	
