Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
BinSet Name	PowerPlex_Fusion_6C_Bins_IDX_v1.2			
Panel Name	PowerPlex_Fusion_6C_Panels_IDX_v1.2			
Marker Name	AMEL			
10.1	340.28	0.4	0.5	virtual
11	343.33	0.5	0.4	
11.1	344.35	0.4	0.5	virtual
12	347.39	0.5	0.4	
12.1	348.41	0.4	0.5	virtual
12.3	350.45	0.5	0.4	virtual
13	351.47	0.4	0.5	
14	355.45	0.5	0.5	
15	359.45	0.5	0.5	
16	363.43	0.5	0.5	
17	367.42	0.5	0.5	
18	371.4	0.5	0.5	
19	375.39	0.5	0.5	virtual
Marker Name	TPOX			
4	394.85	0.5	0.5	
5	398.9	0.5	0.5	
6	402.88	0.5	0.5	
7	406.87	0.5	0.4	
7.1	407.86	0.4	0.5	virtual
7.3	409.85	0.5	0.4	virtual
8	410.84	0.4	0.5	
9	414.8	0.5	0.5	
10	418.8	0.5	0.4	
10.1	419.79	0.4	0.5	virtual
10.3	421.77	0.5	0.4	virtual
11	422.76	0.4	0.5	
12	426.81	0.5	0.5	
13	430.94	0.5	0.5	
14	435.04	0.5	0.5	
15	439.13	0.5	0.5	
16	443.3	0.5	0.5	
Marker Name	D8S1179			
6	68.02	0.5	0.5	virtual
7	72.33	0.5	0.5	
8	76.71	0.5	0.5	
9	80.99	0.5	0.5	
10	85.3	0.5	0.5	
11	89.6	0.5	0.5	
12	93.9	0.5	0.5	
12.3	97.19	0.5	0.4	virtual
13	98.29	0.4	0.5	
13.2	100.45	0.5	0.4	virtual
13.3	101.53	0.4	0.4	virtual
14	102.61	0.4	0.4	
14.1	103.7	0.4	0.5	virtual
15	106.96	0.5	0.4	
15.1	108.05	0.4	0.5	virtual
15.3	110.24	0.5	0.4	virtual
16	111.33	0.4	0.5	
17	115.74	0.5	0.5	
18	120	0.5	0.5	
19	124.34	0.5	0.5	
20	128.68	0.5	0.5	virtual
Marker Name	D12S391			
13	130.99	0.5	0.5	virtual
14	135.13	0.5	0.5	
15	139.27	0.5	0.5	
16	143.48	0.5	0.5	
17	147.64	0.5	0.4	
17.1	148.7	0.5	0.5	virtual
17.3	150.81	0.5	0.4	
18	151.79	0.5	0.4	
18.1	152.84	0.5	0.5	virtual
18.3	154.94	0.5	0.4	
19	155.91	0.5	0.4	
19.1	156.95	0.5	0.5	virtual
19.3	159.02	0.5	0.4	virtual
20	160.05	0.5	0.4	
20.1	161.07	0.5	0.5	virtual
20.3	163.1	0.5	0.4	virtual
21	164.12	0.5	0.5	
21.3	167.17	0.5	0.4	virtual
22	168.18	0.5	0.5	
22.3	171.18	0.5	0.4	virtual
23	172.18	0.5	0.5	
24	176.26	0.5	0.5	
24.3	179.28	0.5	0.4	virtual
25	180.28	0.5	0.5	
26	184.36	0.5	0.5	
27	188.41	0.5	0.5	
Marker Name	D19S433			
5.2	194.47	0.5	0.5	
6	196.47	0.5	0.5	virtual
6.2	198.46	0.5	0.5	
7	200.45	0.5	0.5	virtual
8	204.44	0.5	0.5	
8.2	206.44	0.5	0.5	virtual
9	208.44	0.5	0.5	
9.2	210.44	0.5	0.5	virtual
10	212.43	0.5	0.5	
10.2	214.45	0.5	0.5	virtual
11	216.46	0.5	0.4	
11.1	217.46	0.4	0.4	virtual
11.2	218.47	0.4	0.5	virtual
12	220.47	0.5	0.4	
12.1	221.48	0.4	0.4	virtual
12.2	222.49	0.4	0.5	
13	224.48	0.5	0.4	
13.1	225.51	0.4	0.4	virtual
13.2	226.53	0.4	0.5	
14	228.53	0.5	0.4	
14.1	229.55	0.4	0.4	virtual
14.2	230.57	0.4	0.4	
14.3	231.57	0.4	0.4	virtual
15	232.56	0.4	0.5	
15.2	234.61	0.5	0.5	
16	236.59	0.5	0.4	
16.1	237.62	0.4	0.4	virtual
16.2	238.64	0.4	0.5	
17	240.65	0.5	0.5	
17.2	242.7	0.5	0.5	
18	244.69	0.5	0.5	
18.1	245.71	0.4	0.4	virtual
18.2	246.72	0.5	0.5	
19	248.74	0.5	0.5	virtual
19.2	250.76	0.5	0.5	virtual
Marker Name	SE33			
4.2	274.93	0.5	0.5	
5	276.94	0.5	0.5	virtual
6	280.97	0.5	0.5	virtual
6.3	283.99	0.5	0.4	
7	284.98	0.4	0.5	virtual
8	288.96	0.5	0.5	
8.2	290.96	0.5	0.5	virtual
9	292.96	0.5	0.5	
9.2	294.98	0.5	0.5	virtual
10	296.99	0.5	0.5	
10.2	299	0.5	0.5	virtual
11	301.01	0.5	0.5	
11.2	303.05	0.5	0.5	virtual
12	305.08	0.5	0.5	
12.2	307.11	0.5	0.5	virtual
13	309.13	0.5	0.5	
13.2	311.17	0.5	0.5	virtual
14	313.2	0.5	0.5	
14.2	315.24	0.5	0.4	virtual
14.3	316.26	0.4	0.4	virtual
15	317.28	0.4	0.5	
15.2	319.33	0.5	0.4	virtual
15.3	320.35	0.4	0.4	virtual
16	321.37	0.4	0.5	
16.2	323.42	0.5	0.4	virtual
16.3	324.45	0.4	0.4	virtual
17	325.47	0.4	0.5	
17.2	327.53	0.5	0.5	virtual
18	329.58	0.5	0.5	
18.2	331.64	0.5	0.5	virtual
19	333.7	0.5	0.5	
19.2	335.76	0.5	0.4	virtual
19.3	336.78	0.4	0.4	virtual
20	337.81	0.4	0.5	
20.2	339.83	0.5	0.5	
21	341.92	0.5	0.4	
21.1	342.93	0.4	0.4	virtual
21.2	343.94	0.4	0.5	
22	346.02	0.5	0.5	
22.2	348.04	0.5	0.5	
23	350.07	0.5	0.5	virtual
23.2	352.09	0.5	0.5	
24	354.09	0.5	0.5	virtual
24.2	356.09	0.5	0.5	
25	358.11	0.5	0.5	virtual
25.2	360.12	0.5	0.5	
26	362.12	0.5	0.5	virtual
26.2	364.12	0.5	0.5	
27	366.14	0.5	0.5	virtual
27.2	368.16	0.5	0.5	
28	370.16	0.5	0.5	virtual
28.2	372.16	0.5	0.5	
29	374.18	0.5	0.5	virtual
29.2	376.19	0.5	0.5	
30	378.22	0.5	0.5	virtual
30.2	380.25	0.5	0.5	
31	382.29	0.5	0.5	virtual
31.2	384.33	0.5	0.5	
32	386.37	0.5	0.5	virtual
32.2	388.4	0.5	0.5	
33	390.45	0.5	0.5	virtual
33.2	392.5	0.5	0.5	
34	394.53	0.5	0.5	virtual
34.2	396.56	0.5	0.5	
35	398.6	0.5	0.5	
35.2	400.63	0.5	0.5	virtual
36	402.65	0.5	0.5	
36.2	404.64	0.5	0.5	virtual
37	406.62	0.5	0.5	
37.2	408.62	0.5	0.5	virtual
38	410.62	0.5	0.5	virtual
38.2	412.61	0.5	0.5	virtual
39	414.61	0.5	0.5	
39.2	416.62	0.5	0.5	virtual
Marker Name	D22S1045			
6	432.09	0.4	0.5	virtual
7	435.19	0.5	0.5	
8	438.3	0.5	0.5	
9	441.4	0.5	0.5	
10	444.51	0.5	0.5	
11	447.61	0.5	0.5	
12	450.69	0.5	0.5	
13	453.7	0.5	0.5	
14	456.72	0.5	0.5	
15	459.75	0.5	0.5	
16	462.75	0.5	0.5	
17	465.76	0.5	0.5	
18	468.79	0.5	0.5	
19	471.78	0.5	0.5	
20	474.79	0.5	0.5	
Marker Name	DYS391			
5	81.51	0.5	0.5	
6	85.82	0.5	0.5	
7	90.1	0.5	0.5	
8	94.39	0.5	0.5	
8.3	97.6	0.5	0.4	virtual
9	98.67	0.4	0.5	
10	102.99	0.5	0.5	
11	107.34	0.5	0.5	
12	111.68	0.5	0.5	
13	116.01	0.5	0.5	
14	120.32	0.5	0.5	
15	124.58	0.5	0.5	
16	128.77	0.5	0.5	
Marker Name	FGA			
12.2	136.9	0.5	0.5	virtual
13	138.99	0.5	0.5	virtual
14	143.18	0.5	0.5	
15	147.37	0.5	0.5	
16	151.55	0.5	0.4	
16.1	152.6	0.4	0.4	virtual
16.2	153.64	0.4	0.5	virtual
17	155.73	0.5	0.5	
17.2	157.8	0.5	0.5	virtual
18	159.87	0.5	0.5	
18.2	161.95	0.5	0.5	
19	163.99	0.5	0.4	
19.1	165.03	0.4	0.4	virtual
