Version	GMID-X v 1.0								
Chemistry Kit	PowerPlexY23_Panels_IDX_v2.0								
BinSet Name	PowerPlexY23_Bins_IDX_v2.0								
Panel Name	PowerPlexY23_IDX_v2.0								
Marker Name	DYS576								
15.1	368.62	0.4	0.5	virtual					
16	371.62	0.5	0.5						
17	375.62	0.5	0.5						
18	379.69	0.5	0.5						
18.2	381.73	0.5	0.5	virtual					
19	383.77	0.5	0.5	virtual					
Marker Name	DYS570								
9	78.85	0.5	0.5	virtual					
10	83.02	0.5	0.5						
11	87.19	0.5	0.5						
12	91.37	0.5	0.5						
13	95.54	0.5	0.5						
13.2	97.62	0.5	0.5	virtual					
14	99.69	0.5	0.5						
14.2	101.81	0.5	0.5	virtual					
15	103.92	0.5	0.5						
15.2	106.03	0.5	0.5	virtual					
16	108.13	0.5	0.4						
16.1	109.18	0.4	0.4	virtual					
16.2	110.24	0.4	0.5	virtual					
17	112.34	0.5	0.5						
17.2	114.45	0.5	0.4	virtual					
17.3	115.5	0.4	0.4	virtual					
18	116.55	0.5	0.5						
18.2	118.64	0.5	0.4	virtual					
18.3	119.68	0.4	0.4	virtual					
19	120.72	0.4	0.5						
19.3	123.78	0.5	0.4	virtual					
20	124.8	0.4	0.5						
20.3	127.87	0.5	0.4	virtual					
21	128.89	0.4	0.5						
22	132.94	0.5	0.5						
22.2	134.97	0.5	0.5	virtual					
23	136.99	0.5	0.5						
24	141.03	0.5	0.5						
25	145.07	0.5	0.5						
Marker Name	DYS635								
15	150.26	0.4	0.5						
16	154.39	0.5	0.5						
17	158.51	0.5	0.5						
18	162.61	0.5	0.5						
18.3	165.67	0.5	0.4	virtual					
19	166.69	0.4	0.5						
20	170.75	0.5	0.4						
20.1	171.77	0.4	0.5	virtual					
20.3	173.8	0.5	0.4	virtual					
21	174.81	0.4	0.5						
21.3	177.86	0.5	0.4	virtual					
22	178.87	0.4	0.5						
22.3	181.91	0.5	0.4	virtual					
23	182.92	0.4	0.4						
23.1	183.94	0.4	0.5	virtual					
24	186.98	0.5	0.5						
25	191.05	0.5	0.5						
26	195.1	0.5	0.5						
27	199.15	0.5	0.5						
28	203.21	0.5	0.5						
28.2	205.24	0.5	0.5	virtual					
29	207.27	0.5	0.4	virtual					
Marker Name	DYS390								
17	208.47	0.4	0.5						
18	212.54	0.5	0.5						
19	216.59	0.5	0.5						
20	220.67	0.5	0.5						
21	224.75	0.5	0.4						
21.1	225.77	0.4	0.5	virtual					
22	228.83	0.5	0.5						
23	232.93	0.5	0.5						
23.2	234.99	0.5	0.5	virtual					
24	237.04	0.5	0.4						
24.1	238.07	0.4	0.5	virtual					
24.3	240.12	0.5	0.4	virtual					
25	241.15	0.4	0.5						
26	245.26	0.5	0.5						
27	249.38	0.5	0.5						
28	253.51	0.5	0.5						
29	257.63	0.5	0.4						
Marker Name	DYS439								
5	259.76	0.4	0.5	virtual					
6	263.85	0.5	0.5						
7	267.94	0.5	0.5						
8	272.05	0.5	0.5						
9	276.11	0.5	0.5						
10	280.13	0.5	0.4						
10.1	281.13	0.4	0.4	virtual					
10.2	282.14	0.4	0.4	virtual					
10.3	283.14	0.4	0.4	virtual					
11	284.14	0.4	0.4						
11.1	285.15	0.4	0.5	virtual					
11.3	287.16	0.5	0.4	virtual					
12	288.16	0.4	0.5						
13	292.18	0.5	0.4						
13.1	293.18	0.4	0.5	virtual					
14	296.17	0.5	0.5						
15	300.18	0.5	0.5						
16	304.23	0.5	0.5						
17	308.29	0.5	0.5						
18	312.35	0.5	0.4	virtual					
Marker Name	DYS392								
4	314.79	0.4	0.5						
5	317.8	0.5	0.5						
6	320.81	0.5	0.5						
7	323.79	0.5	0.5						
8	326.84	0.5	0.5						
9	329.87	0.5	0.5						
10	332.92	0.5	0.5						
10.2	334.93	0.5	0.4	virtual					
11	335.94	0.4	0.4						
11.1	336.95	0.4	0.4	virtual					
11.2	337.97	0.4	0.4	virtual					
12	338.98	0.4	0.5						
12.2	341.01	0.5	0.4	virtual					
13	342.02	0.4	0.4						
13.1	343.03	0.4	0.4	virtual					
13.2	344.03	0.4	0.4	virtual					
14	345.04	0.4	0.4						
14.1	346.05	0.4	0.4	virtual					
14.2	347.06	0.4	0.4	virtual					
15	348.07	0.4	0.5						
16	351.08	0.5	0.5						
17	354.07	0.5	0.5						
18	357.03	0.5	0.5						
19	360	0.5	0.5						
20	362.97	0.5	0.5						
Marker Name	DYS643								
5	366.45	0.5	0.5	virtual					
6	371.48	0.5	0.5						
7	376.51	0.5	0.5						
8	381.62	0.5	0.5						
9	386.75	0.5	0.5						
9.2	388.79	0.5	0.5	virtual					
10	391.85	0.5	0.4						
10.1	392.87	0.4	0.5	virtual					
11	396.95	0.5	0.4						
11.1	397.96	0.4	0.5	virtual					
12	402.01	0.5	0.5						
13	407	0.5	0.5						
14	411.98	0.5	0.5						
15	417	0.5	0.5						
16	422.03	0.5	0.5						
17	427.12	0.5	0.5						
18	432.21	0.5	0.5	virtual					
Marker Name	DYS393								
6	95.61	0.5	0.5	virtual					
7	100	0.5	0.5						
8	104.39	0.5	0.5						
9	108.74	0.5	0.5						
10	113.08	0.5	0.5						
11	117.42	0.5	0.5						
12	121.71	0.5	0.4						
12.1	122.77	0.4	0.4	virtual					
12.2	123.82	0.4	0.5	virtual					
13	125.93	0.5	0.5						
14	130.13	0.5	0.5						
15	134.3	0.5	0.5						
16	138.47	0.5	0.5						
17	142.62	0.5	0.5						
18	146.79	0.5	0.5						
19	150.96	0.5	0.5	virtual					
Marker Name	DYS458								
10	159.66	0.5	0.5						
10.3	162.61	0.5	0.4	virtual					
11	163.59	0.4	0.5						
12	167.51	0.5	0.5						
12.2	169.47	0.5	0.5	virtual					
13	171.42	0.5	0.5						
13.2	173.38	0.5	0.5	virtual					
14	175.33	0.5	0.4						
14.1	176.31	0.4	0.4	virtual					
14.2	177.29	0.4	0.4	virtual					
14.3	178.26	0.4	0.4	virtual					
15	179.24	0.4	0.4						
15.1	180.22	0.4	0.4	virtual					
15.2	181.19	0.4	0.5	virtual					
16	183.14	0.5	0.4						
16.1	184.12	0.4	0.4	virtual					
16.2	185.1	0.4	0.4	virtual					
16.3	186.07	0.4	0.4	virtual					
17	187.05	0.4	0.4						
17.1	188.02	0.4	0.4	virtual					
17.2	189	0.4	0.4	virtual					
17.3	189.97	0.4	0.4	virtual					
