Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v1.0			
BinSet Name	PowerPlex_Fusion_Bins_IDX_v1.0			
Panel Name	PowerPlex_Fusion_Panels_IDX_v1.0			
Marker Name	AMEL			
23	179.87	0.5	0.5	
24	183.86	0.5	0.5	
25	187.82	0.5	0.5	virtual
Marker Name	D21S11			
23.2	202.06	0.5	0.5	virtual
23.3	203.06	0.4	0.5	virtual
24	204.06	0.4	0.5	
24.2	206.07	0.5	0.5	
24.3	207.06	0.4	0.5	virtual
25	208.05	0.4	0.5	
25.2	210.07	0.5	0.5	
25.3	211.07	0.4	0.5	virtual
26	212.06	0.4	0.5	
26.2	214.08	0.5	0.5	virtual
27	216.09	0.5	0.5	
27.1	217.08	0.4	0.5	virtual
27.2	218.07	0.4	0.5	virtual
28	220.05	0.5	0.5	
28.1	221.06	0.4	0.5	virtual
28.2	222.07	0.4	0.5	
28.3	223.07	0.4	0.5	virtual
29	224.06	0.4	0.5	
29.1	225.06	0.4	0.5	virtual
29.2	226.05	0.4	0.5	
29.3	227.08	0.4	0.5	virtual
30	228.1	0.4	0.5	
30.1	229.1	0.4	0.5	virtual
30.2	230.1	0.4	0.5	
30.3	231.13	0.4	0.5	virtual
31	232.15	0.4	0.5	
31.1	233.13	0.4	0.5	virtual
31.2	234.11	0.4	0.5	
31.3	235.15	0.4	0.5	virtual
32	236.19	0.4	0.5	
32.1	237.2	0.4	0.5	virtual
32.2	238.2	0.4	0.5	
32.3	239.25	0.4	0.5	virtual
33	240.3	0.4	0.5	
33.1	241.27	0.4	0.5	virtual
33.2	242.24	0.4	0.5	
33.3	243.26	0.4	0.5	virtual
34	244.27	0.4	0.5	
34.1	245.29	0.4	0.5	virtual
34.2	246.3	0.4	0.5	
34.3	247.31	0.4	0.5	virtual
35	248.32	0.4	0.5	
35.1	249.34	0.4	0.5	virtual
35.2	250.35	0.4	0.5	
36	252.43	0.5	0.5	
36.1	253.43	0.4	0.5	virtual
36.2	254.44	0.4	0.5	virtual
37	256.44	0.5	0.5	
37.2	258.47	0.5	0.5	virtual
38	260.49	0.5	0.5	
38.2	262.5	0.5	0.5	virtual
39	264.51	0.5	0.5	virtual
Marker Name	D7S820			
5	269.14	0.5	0.5	
5.2	271.18	0.5	0.5	virtual
6	273.22	0.5	0.5	
6.3	276.24	0.5	0.5	virtual
7	277.25	0.4	0.5	
7.1	278.25	0.4	0.5	virtual
7.3	280.25	0.5	0.5	virtual
8	281.25	0.4	0.5	
8.1	282.25	0.4	0.5	virtual
8.2	283.24	0.4	0.5	virtual
8.3	284.24	0.4	0.5	virtual
9	285.23	0.4	0.5	
9.1	286.23	0.4	0.5	virtual
9.2	287.23	0.4	0.5	virtual
9.3	288.22	0.4	0.5	virtual
10	289.22	0.4	0.5	
10.1	290.22	0.4	0.5	virtual
10.3	292.21	0.5	0.5	virtual
11	293.21	0.4	0.5	
11.1	294.21	0.4	0.5	virtual
11.2	295.21	0.4	0.5	virtual
11.3	296.21	0.4	0.5	virtual
12	297.21	0.4	0.5	
12.1	298.21	0.4	0.5	virtual
12.3	300.2	0.5	0.5	virtual
13	301.2	0.4	0.5	
13.1	302.21	0.4	0.5	virtual
14	305.23	0.5	0.5	
14.1	306.24	0.4	0.5	virtual
15	309.27	0.5	0.5	
16	313.31	0.5	0.5	
Marker Name	D5S818			
5	317.94	0.5	0.5	virtual
6	322.02	0.5	0.5	
7	326.06	0.5	0.5	
8	330.15	0.5	0.5	
9	334.23	0.5	0.5	
10	338.3	0.5	0.5	
10.1	339.31	0.4	0.5	virtual
11	342.33	0.5	0.5	
11.1	343.35	0.4	0.5	virtual
12	346.41	0.5	0.5	
12.1	347.41	0.4	0.5	virtual
12.3	349.42	0.5	0.5	virtual
13	350.42	0.4	0.5	
14	354.45	0.5	0.5	
15	358.43	0.5	0.5	
16	362.41	0.5	0.5	
17	366.38	0.5	0.5	
18	370.35	0.5	0.5	
19	374.52	0.5	0.5	virtual
Marker Name	TPOX			
4	393.44	0.5	0.5	
5	397.57	0.5	0.5	
6	401.55	0.5	0.5	
7	405.53	0.5	0.5	
7.1	406.52	0.4	0.5	virtual
7.3	408.51	0.5	0.5	virtual
8	409.5	0.4	0.5	
9	413.46	0.5	0.5	
10	417.4	0.5	0.5	
10.1	418.41	0.4	0.5	virtual
11	421.43	0.5	0.5	
12	425.38	0.5	0.5	
13	429.58	0.5	0.5	
14	433.72	0.5	0.5	
15	437.85	0.5	0.5	
16	441.97	0.5	0.5	
Marker Name	DYS391			
5	445.01	0.5	0.5	
6	449.15	0.5	0.5	
7	453.19	0.5	0.5	
8	457.16	0.5	0.5	
8.3	460.15	0.5	0.5	virtual
9	461.14	0.4	0.5	
10	465.11	0.5	0.5	
11	469.03	0.5	0.5	
12	473.02	0.5	0.5	
13	477.04	0.5	0.5	
14	481.1	0.5	0.5	
15	485.17	0.5	0.5	
16	489.26	0.5	0.5	
Marker Name	D8S1179			
6	72.76	0.5	0.5	virtual
7	76.8	0.5	0.5	
8	80.81	0.5	0.5	
9	84.83	0.5	0.5	
10	88.87	0.5	0.5	
11	92.92	0.5	0.5	
12	97	0.5	0.5	
12.3	100.17	0.5	0.5	virtual
13	101.22	0.4	0.5	
13.2	103.29	0.5	0.5	virtual
13.3	104.33	0.4	0.5	virtual
14	105.36	0.4	0.5	
14.1	106.4	0.4	0.5	virtual
15	109.5	0.5	0.5	
15.1	110.54	0.4	0.5	virtual
16	113.65	0.5	0.5	
17	117.9	0.5	0.5	
18	121.92	0.5	0.5	
19	126.11	0.5	0.5	
20	130.3	0.5	0.5	virtual
Marker Name	D12S391			
13	131.86	0.4	0.5	virtual
14	135.89	0.5	0.5	
15	139.92	0.5	0.5	
16	143.98	0.5	0.5	
17	148.02	0.5	0.5	
17.1	149.02	0.4	0.5	virtual
17.3	151.02	0.5	0.5	
18	152.06	0.4	0.5	
18.1	153.06	0.4	0.5	virtual
18.3	155.06	0.5	0.5	
19	156.09	0.4	0.5	
19.1	157.1	0.4	0.5	virtual
19.3	159.13	0.5	0.5	virtual
20	160.14	0.4	0.5	
20.1	161.14	0.4	0.5	virtual
20.3	163.15	0.5	0.5	virtual
21	164.15	0.4	0.5	
21.3	167.16	0.5	0.5	virtual
22	168.16	0.4	0.5	
