Version	GMID-X v 1.0											
Chemistry Kit	PowerPlex_Fusion_Panels_IDX_v2.0											
BinSet Name	PowerPlex_Fusion_Bins_IDX_v2.0											
Panel Name	PowerPlex_Fusion_Panels_IDX_v2.0											
Marker Name	AMEL											
11.1	420.95	0.4	0.5	virtual								
11.2	421.95	0.4	0.5	virtual								
12	424.97	0.5	0.5									
12.1	426.01	0.4	0.5	virtual								
12.2	427.05	0.4	0.5	virtual								
13	430.18	0.5	0.5									
13.4	434.34	0.5	0.5	virtual								
14	435.38	0.4	0.5									
14.1	436.42	0.4	0.5	virtual								
14.4	439.55	0.5	0.5	virtual								
15	440.59	0.4	0.5									
16	445.8	0.5	0.5									
17	450.95	0.5	0.5									
18	456.1	0.5	0.5	virtual								
Marker Name	TH01											
3	64.89	0.5	0.5									
4	69.43	0.5	0.5									
5	73.84	0.5	0.5									
5.3	77.1	0.5	0.4	virtual								
6	78.18	0.4	0.4									
6.1	79.26	0.4	0.5	virtual								
6.3	81.41	0.5	0.4	virtual								
7	82.49	0.4	0.4									
7.1	83.56	0.4	0.5	virtual								
7.3	85.7	0.5	0.4	virtual								
8	86.77	0.4	0.5									
8.3	89.99	0.5	0.4	virtual								
9	91.06	0.4	0.4									
9.1	92.12	0.4	0.5	virtual								
9.3	94.23	0.5	0.4									
10	95.33	0.4	0.5									
10.3	98.53	0.5	0.4	virtual								
11	99.59	0.4	0.5									
13.3	111.63	0.5	0.5									
Marker Name	vWA											
10	125.46	0.5	0.5									
11	129.76	0.5	0.5									
12	133.89	0.5	0.5									
13	138.04	0.5	0.5									
14	142.22	0.5	0.5									
15	146.38	0.5	0.5									
15.2	148.46	0.5	0.5	virtual								
16	150.54	0.5	0.5									
16.1	151.58	0.4	0.5	virtual								
17	154.68	0.5	0.5									
18	158.82	0.5	0.5									
18.2	160.87	0.5	0.5	virtual								
18.3	161.9	0.4	0.5	virtual								
19	162.92	0.4	0.5									
20	166.99	0.5	0.5									
21	171.05	0.5	0.5									
22	175.09	0.5	0.5									
23	179.18	0.5	0.5									
24	183.22	0.5	0.5									
25	187.26	0.5	0.5	virtual								
Marker Name	D21S11											
23.2	201.73	0.5	0.5	virtual								
23.3	202.74	0.4	0.5	virtual								
24	203.75	0.4	0.5									
24.2	205.77	0.5	0.5									
24.3	206.78	0.4	0.5	virtual								
25	207.79	0.4	0.5									
25.2	209.84	0.5	0.5									
25.3	210.85	0.4	0.5	virtual								
26	211.86	0.4	0.5									
26.2	213.9	0.5	0.5	virtual								
27	215.93	0.5	0.5									
27.1	216.94	0.4	0.5	virtual								
27.2	217.95	0.4	0.5	virtual								
28	219.96	0.5	0.5									
28.1	220.99	0.4	0.5	virtual								
28.2	222.01	0.4	0.5									
28.3	223.02	0.4	0.5	virtual								
29	224.03	0.4	0.5									
29.1	225.04	0.4	0.5	virtual								
29.2	226.05	0.4	0.5									
29.3	227.08	0.4	0.5	virtual								
30	228.11	0.4	0.5									
30.1	229.12	0.4	0.5	virtual								
30.2	230.13	0.4	0.5									
30.3	231.16	0.4	0.5	virtual								
31	232.19	0.4	0.5									
31.1	233.18	0.4	0.5	virtual								
31.2	234.17	0.4	0.5									
31.3	235.24	0.4	0.5	virtual								
32	236.3	0.4	0.5									
32.1	237.31	0.4	0.5	virtual								
32.2	238.31	0.4	0.5									
32.3	239.38	0.4	0.5	virtual								
33	240.44	0.4	0.5									
33.1	241.43	0.4	0.5	virtual								
33.2	242.41	0.4	0.5									
33.3	243.43	0.4	0.5	virtual								
34	244.45	0.4	0.5									
34.1	245.48	0.4	0.5	virtual								
34.2	246.51	0.4	0.5									
34.3	247.52	0.4	0.5	virtual								
35	248.53	0.4	0.5									
35.1	249.57	0.4	0.5	virtual								
35.2	250.6	0.4	0.5									
36	252.7	0.5	0.5									
36.1	253.72	0.4	0.5	virtual								
36.2	254.73	0.4	0.5	virtual								
37	256.76	0.5	0.5									
37.2	258.81	0.5	0.5	virtual								
38	260.85	0.5	0.5									
38.2	262.9	0.5	0.5	virtual								
39	264.94	0.5	0.5	virtual								
Marker Name	D7S820											
5	269.62	0.5	0.5									
5.2	271.68	0.5	0.5	virtual								
6	273.73	0.5	0.5									
6.3	276.76	0.5	0.5	virtual								
7	277.77	0.4	0.5									
7.1	278.78	0.4	0.5	virtual								
7.3	280.79	0.5	0.5	virtual								
8	281.79	0.4	0.5									
8.1	282.79	0.4	0.5	virtual								
8.2	283.8	0.4	0.5	virtual								
8.3	284.8	0.4	0.5	virtual								
9	285.8	0.4	0.5									
9.1	286.81	0.4	0.5	virtual								
9.2	287.81	0.4	0.5	virtual								
9.3	288.82	0.4	0.5	virtual								
10	289.82	0.4	0.5									
10.1	290.83	0.4	0.5	virtual								
10.3	292.84	0.5	0.5	virtual								
11	293.84	0.4	0.5									
11.1	294.84	0.4	0.5	virtual								
11.2	295.85	0.4	0.5	virtual								
11.3	296.85	0.4	0.5	virtual								
12	297.85	0.4	0.5									
12.1	298.86	0.4	0.5	virtual								
12.3	300.87	0.5	0.5	virtual								
13	301.87	0.4	0.5									
13.1	302.88	0.4	0.5	virtual								
14	305.91	0.5	0.5									
14.1	306.93	0.4	0.5	virtual								
15	309.97	0.5	0.5									
16	314.04	0.5	0.5									
Marker Name	D5S818											
5	318.7	0.5	0.5	virtual								
6	322.78	0.5	0.5									
7	326.86	0.5	0.5									
8	330.97	0.5	0.5									
9	335.06	0.5	0.5									
10	339.12	0.5	0.5									
10.1	340.14	0.4	0.5	virtual								
11	343.21	0.5	0.5									
11.1	344.23	0.4	0.5	virtual								
12	347.28	0.5	0.5									
12.1	348.29	0.4	0.5	virtual								
12.3	350.32	0.5	0.5	virtual								
13	351.33	0.4	0.5									
14	355.34	0.5	0.5									
15	359.33	0.5	0.5									
16	363.32	0.5	0.5									
17	367.3	0.5	0.5									
18	371.29	0.5	0.5									
19	375.28	0.5	0.5	virtual								
Marker Name	TPOX											
4	394.49	0.5	0.5									
5	398.56	0.5	0.5									
6	402.54	0.5	0.5									
7	406.52	0.5	0.4									
7.1	407.51	0.4	0.5	virtual								
7.3	409.49	0.5	0.4	virtual								
8	410.48	0.4	0.5									
9	414.46	0.5	0.5									
10	418.46	0.5	0.4									
10.1	419.46	0.4	0.5	virtual								
10.3	421.46	0.5	0.4	virtual								
11	422.46	0.4	0.5									
12	426.5	0.5	0.5									
13	430.64	0.5	0.5									
14	434.77	0.5	0.5									
15	438.91	0.5	0.5									
16	443.07	0.5	0.5									
Marker Name	DYS391											
5	445.97	0.5	0.5									
6	450.09	0.5	0.5									
7	454.09	0.5	0.5									
8	458.08	0.5	0.5									
8.3	461.07	0.5	0.5	virtual								
9	462.07	0.4	0.5									
10	466.04	0.5	0.5									
11	470.01	0.5	0.5									
12	473.96	0.5	0.5									
13	478	0.5	0.5									
14	482.03	0.5	0.5									
15	486.11	0.5	0.5									
16	490.19	0.5	0.5									
Marker Name	D8S1179											
6	67.14	0.5	0.5	virtual								
7	71.57	0.5	0.5									
8	76	0.5	0.5									
9	80.33	0.5	0.5									
10	84.68	0.5	0.5									
11	89.01	0.5	0.5									
12	93.34	0.5	0.5									
12.3	96.66	0.5	0.4	virtual								
13	97.77	0.4	0.5									
13.2	99.94	0.5	0.4	virtual								
