Version	GMID-X v 1.0						
Chemistry Kit	PowerPlex_18D_Panels_IDX_v2.0						
BinSet Name	PowerPlex_18D_Bins_IDX_v2.0						
Panel Name	PowerPlex_18D_IDX_v2.0						
Marker Name	D3S1358						
12.1	343.41	0.4	0.5	virtual			
12.3	345.45	0.5	0.4	virtual			
13	346.47	0.4	0.5				
13.3	349.52	0.5	0.4	virtual			
14	350.54	0.4	0.5				
15	354.54	0.5	0.5				
16	358.54	0.5	0.5	virtual			
Marker Name	Penta D						
2.2	376.36	0.5	0.5				
3.2	381.48	0.5	0.5				
5	389.68	0.5	0.5				
6	394.81	0.5	0.5				
6.4	398.88	0.5	0.4	virtual			
7	399.9	0.4	0.5				
7.4	403.9	0.5	0.4	virtual			
8	404.9	0.4	0.5				
8.2	406.9	0.5	0.5	virtual			
9	409.91	0.5	0.5				
9.2	411.92	0.5	0.5	virtual			
9.4	413.93	0.5	0.4	virtual			
10	414.93	0.4	0.5				
11	419.94	0.5	0.4				
11.1	420.94	0.4	0.4	virtual			
11.2	421.95	0.4	0.5	virtual			
12	424.96	0.5	0.4				
12.1	426	0.4	0.4	virtual			
12.2	427.04	0.4	0.5	virtual			
13	430.16	0.5	0.5				
13.4	434.34	0.5	0.4	virtual			
14	435.38	0.4	0.4				
14.1	436.42	0.4	0.5	virtual			
14.4	439.54	0.5	0.4	virtual			
15	440.58	0.4	0.5				
16	445.8	0.5	0.5				
17	450.96	0.5	0.5				
18	456.12	0.5	0.5	virtual			
Marker Name	AMEL						
1	107.97	0.5	0.5				
2	114.23	0.5	0.5				
Marker Name	vWA						
10	125.46	0.5	0.5				
11	129.76	0.5	0.5				
12	133.91	0.5	0.5				
13	138.06	0.5	0.5				
14	142.23	0.5	0.5				
15	146.4	0.5	0.5				
15.2	148.48	0.5	0.5	virtual			
16	150.56	0.5	0.4				
16.1	151.6	0.4	0.5	virtual			
17	154.7	0.5	0.5				
18	158.83	0.5	0.5				
18.2	160.88	0.5	0.4	virtual			
18.3	161.9	0.4	0.4	virtual			
19	162.92	0.4	0.5				
20	167	0.5	0.5				
21	171.07	0.5	0.5				
22	175.1	0.5	0.5				
23	179.18	0.5	0.5				
24	183.23	0.5	0.5				
25	187.28	0.5	0.5	virtual			
Marker Name	D8S1179						
6	199.18	0.5	0.5	virtual			
7	203.21	0.5	0.5				
8	207.24	0.5	0.5				
9	211.3	0.5	0.5				
10	215.36	0.5	0.5				
11	219.42	0.5	0.5				
12	223.5	0.5	0.5				
12.3	226.52	0.5	0.5	virtual			
13	227.53	0.5	0.4				
13.2	229.59	0.4	0.5	virtual			
13.3	230.61	0.5	0.4	virtual			
14	231.64	0.4	0.4				
14.1	232.67	0.4	0.4	virtual			
15	235.74	0.4	0.5				
15.1	236.76	0.5	0.4	virtual			
15.3	238.8	0.4	0.5	virtual			
16	239.82	0.5	0.4				
17	243.89	0.4	0.5				
18	248.02	0.5	0.5				
19	252.1	0.5	0.5				
20	256.18	0.5	0.5	virtual			
Marker Name	TPOX						
5	263.6	0.5	0.5	virtual			
6	267.68	0.5	0.5				
7	271.76	0.5	0.4				
7.1	272.75	0.4	0.5	virtual			
7.3	274.72	0.5	0.4	virtual			
8	275.71	0.4	0.5				
9	279.71	0.5	0.5				
10	283.7	0.5	0.4				
10.1	284.69	0.4	0.5	virtual			
10.3	286.66	0.5	0.4	virtual			
11	287.64	0.4	0.5				
12	291.6	0.5	0.5				
13	295.53	0.5	0.5				
14	299.46	0.5	0.5	virtual			
Marker Name	FGA						
12.2	309.95	0.5	0.5	virtual			
13	311.99	0.5	0.5	virtual			
14	316.08	0.5	0.5				
15	320.17	0.5	0.5				
16	324.27	0.5	0.4				
16.1	325.3	0.4	0.4	virtual			
16.2	326.33	0.4	0.5	virtual			
17	328.39	0.5	0.5				
17.2	330.45	0.5	0.5	virtual			
18	332.51	0.5	0.5				
18.2	334.58	0.5	0.5				
19	336.62	0.5	0.4				
19.1	337.66	0.4	0.4	virtual			
19.2	338.7	0.4	0.4				
19.3	339.73	0.4	0.4	virtual			
20	340.75	0.4	0.4				
20.1	341.79	0.4	0.4	virtual			
20.2	342.83	0.4	0.4				
20.3	343.85	0.4	0.4	virtual			
21	344.87	0.4	0.4				
21.1	345.91	0.4	0.4	virtual			
21.2	346.94	0.4	0.4				
21.3	347.95	0.4	0.4	virtual			
22	348.96	0.4	0.4				
22.1	349.99	0.4	0.4	virtual			
22.2	351.02	0.4	0.4				
22.3	352.03	0.4	0.4	virtual			
23	353.04	0.4	0.4				
23.1	354.05	0.4	0.4	virtual			
23.2	355.06	0.4	0.4				
23.3	356.06	0.4	0.4	virtual			
24	357.06	0.4	0.4				
24.1	358.07	0.4	0.4	virtual			
24.2	359.08	0.4	0.4				
24.3	360.08	0.4	0.4	virtual			
25	361.08	0.4	0.4				
25.1	362.09	0.4	0.4	virtual			
25.2	363.1	0.4	0.4				
25.3	364.11	0.4	0.4	virtual			
26	365.11	0.4	0.4				
26.1	366.12	0.4	0.4	virtual			
26.2	367.12	0.4	0.4	virtual			
26.3	368.13	0.4	0.4	virtual			
27	369.13	0.4	0.5				
27.2	371.12	0.5	0.4	virtual			
27.3	372.12	0.4	0.4	virtual			
28	373.11	0.4	0.5				
28.2	375.14	0.5	0.4	virtual			
28.3	376.15	0.4	0.4	virtual			
29	377.16	0.4	0.4				
29.1	378.19	0.4	0.4	virtual			
29.2	379.22	0.4	0.5	virtual			
30	381.27	0.5	0.5				
30.2	383.26	0.5	0.5	virtual			
31	385.24	0.5	0.5	virtual			
31.2	387.23	0.5	0.5				
32	389.28	0.5	0.5	virtual			
32.2	391.32	0.5	0.5				
33.2	395.41	0.5	0.5				
34.2	399.5	0.5	0.5	virtual			
41.2	427.79	0.5	0.5	virtual			
42.2	431.96	0.5	0.5				
43.2	436.13	0.5	0.5				
44.2	440.28	0.5	0.5				
45.2	444.47	0.5	0.5				
46.2	448.6	0.5	0.5				
47.2	452.61	0.5	0.5	virtual			
48.2	456.61	0.5	0.5				
49.2	460.62	0.5	0.5	virtual			
50.2	464.63	0.5	0.5				
51.2	468.64	0.5	0.5	virtual			
Marker Name	D19S433						
5.2	164.56	0.5	0.5				
6	166.58	0.5	0.5	virtual			
6.2	168.59	0.5	0.5				
7	170.6	0.5	0.5	virtual			
8	174.61	0.5	0.5				
8.2	176.61	0.5	0.5	virtual			
9	178.6	0.5	0.5				
9.2	180.6	0.5	0.5	virtual			
10	182.59	0.5	0.5				
10.2	184.59	0.5	0.5	virtual			
11	186.59	0.5	0.4				
11.1	187.59	0.4	0.4	virtual			
11.2	188.59	0.4	0.5	virtual			
12	190.59	0.5	0.4				
12.1	191.59	0.4	0.4	virtual			
12.2	192.59	0.4	0.5				
13	194.57	0.5	0.4				
13.1	195.58	0.4	0.4	virtual			
13.2	196.59	0.4	0.5				
14	198.57	0.5	0.4				
14.1	199.57	0.4	0.4	virtual			
14.2	200.57	0.4	0.4				
14.3	201.56	0.4	0.4	virtual			
15	202.55	0.4	0.5				
15.2	204.57	0.5	0.5				
16	206.55	0.5	0.4				
16.1	207.56	0.4	0.4	virtual			
16.2	208.56	0.4	0.5				
17	210.54	0.5	0.5				
17.2	212.55	0.5	0.5				
18	214.54	0.5	0.5				
18.1	215.55	0.4	0.4	virtual			
18.2	216.55	0.5	0.5				
19	218.56	0.5	0.5	virtual			
19.2	220.57	0.5	0.5	virtual			
Marker Name	D2S1338						
10	226.47	0.5	0.5				
11	230.54	0.5	0.5	virtual			
12	234.6	0.5	0.5				
13	238.68	0.5	0.5	virtual			
14	242.76	0.5	0.5				
15	246.85	0.5	0.5				
16	250.93	0.5	0.5				
17	255.03	0.5	0.5				
18	259.13	0.5	0.5				
18.3	262.19	0.5	0.4	virtual			
19	263.21	0.4	0.5				
