Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
BinSet Name	PowerPlex_Fusion_POP7_Bins_IDX_v2.0			
Panel Name	PowerPlex_Fusion_POP7_Panels_IDX_v2.0			
Marker Name	AMEL			
12.2	432.75	0.4	0.5	virtual
13	435.9	0.5	0.5	
13.4	440.09	0.5	0.5	virtual
14	441.14	0.4	0.5	
14.1	442.18	0.4	0.5	virtual
14.4	445.3	0.5	0.5	virtual
15	446.34	0.4	0.5	
16	451.53	0.5	0.5	
17	456.65	0.5	0.5	
18	461.77	0.5	0.5	virtual
Marker Name	TH01			
3	67.44	0.5	0.5	
4	72.13	0.5	0.5	
5	76.71	0.5	0.5	
5.3	80.04	0.5	0.4	virtual
6	81.15	0.4	0.4	
6.1	82.26	0.4	0.5	virtual
6.3	84.48	0.5	0.4	virtual
7	85.59	0.4	0.4	
7.1	86.69	0.4	0.5	virtual
7.3	88.9	0.5	0.4	virtual
8	90	0.4	0.5	
8.3	93.3	0.5	0.4	virtual
9	94.4	0.4	0.4	
9.1	95.48	0.4	0.5	virtual
9.3	97.64	0.5	0.4	
10	98.78	0.4	0.5	
10.3	102.09	0.5	0.4	virtual
11	103.19	0.4	0.5	
13.3	115.41	0.5	0.5	
Marker Name	vWA			
10	127.93	0.5	0.5	
11	132.25	0.5	0.5	
12	136.32	0.5	0.5	
13	140.43	0.5	0.5	
14	144.6	0.5	0.5	
15	148.74	0.5	0.5	
15.2	150.82	0.5	0.5	virtual
16	152.89	0.5	0.5	
16.1	153.92	0.4	0.5	virtual
17	156.99	0.5	0.5	
18	161.09	0.5	0.5	
18.2	163.12	0.5	0.5	virtual
18.3	164.13	0.4	0.5	virtual
19	165.14	0.4	0.5	
20	169.2	0.5	0.5	
21	173.22	0.5	0.5	
22	177.21	0.5	0.5	
23	181.29	0.5	0.5	
24	185.32	0.5	0.5	
25	189.35	0.5	0.5	virtual
Marker Name	D21S11			
23.2	203.62	0.5	0.5	virtual
23.3	204.62	0.4	0.5	virtual
24	205.62	0.4	0.5	
24.2	207.62	0.5	0.5	
24.3	208.62	0.4	0.5	virtual
25	209.62	0.4	0.5	
25.2	211.62	0.5	0.5	
25.3	212.64	0.4	0.5	virtual
26	213.65	0.4	0.5	
26.2	215.7	0.5	0.5	virtual
27	217.75	0.5	0.5	
27.1	218.74	0.4	0.5	virtual
27.2	219.73	0.4	0.5	virtual
28	221.71	0.5	0.5	
28.1	222.74	0.4	0.5	virtual
28.2	223.77	0.4	0.5	
28.3	224.76	0.4	0.5	virtual
29	225.75	0.4	0.5	
29.1	226.75	0.4	0.5	virtual
29.2	227.74	0.4	0.5	
29.3	228.76	0.4	0.5	virtual
30	229.78	0.4	0.5	
30.1	230.8	0.4	0.5	virtual
30.2	231.81	0.4	0.5	
30.3	232.81	0.4	0.5	virtual
31	233.81	0.4	0.5	
31.1	234.8	0.4	0.5	virtual
31.2	235.78	0.4	0.5	
31.3	236.84	0.4	0.5	virtual
32	237.89	0.4	0.5	
32.1	238.9	0.4	0.5	virtual
32.2	239.9	0.4	0.5	
32.3	240.94	0.4	0.5	virtual
33	241.98	0.4	0.5	
33.1	242.96	0.4	0.5	virtual
33.2	243.94	0.4	0.5	
33.3	244.94	0.4	0.5	virtual
34	245.93	0.4	0.5	
34.1	246.98	0.4	0.5	virtual
34.2	248.02	0.4	0.5	
34.3	248.98	0.4	0.5	virtual
35	249.93	0.4	0.5	
35.1	250.99	0.4	0.5	virtual
35.2	252.04	0.4	0.5	
36	254.08	0.5	0.5	
36.1	255.07	0.4	0.5	virtual
36.2	256.06	0.4	0.5	virtual
37	258.03	0.5	0.5	
37.2	260.04	0.5	0.5	virtual
38	262.05	0.5	0.5	
38.2	264.06	0.5	0.5	virtual
39	266.07	0.5	0.5	virtual
Marker Name	D7S820			
5	272.56	0.5	0.5	
5.2	274.59	0.5	0.5	virtual
6	276.62	0.5	0.5	
6.3	279.67	0.5	0.5	virtual
7	280.69	0.4	0.5	
7.1	281.7	0.4	0.5	virtual
7.3	283.73	0.5	0.5	virtual
8	284.74	0.4	0.5	
8.1	285.75	0.4	0.5	virtual
8.2	286.76	0.4	0.5	virtual
8.3	287.77	0.4	0.5	virtual
9	288.78	0.4	0.5	
9.1	289.79	0.4	0.5	virtual
9.2	290.8	0.4	0.5	virtual
9.3	291.81	0.4	0.5	virtual
10	292.82	0.4	0.5	
10.1	293.83	0.4	0.5	virtual
10.3	295.85	0.5	0.5	virtual
11	296.86	0.4	0.5	
11.1	297.87	0.4	0.5	virtual
11.2	298.88	0.4	0.5	virtual
11.3	299.89	0.4	0.5	virtual
12	300.9	0.4	0.5	
12.1	301.91	0.4	0.5	virtual
12.3	303.94	0.5	0.5	virtual
13	304.95	0.4	0.5	
13.1	305.97	0.4	0.5	virtual
14	309.01	0.5	0.5	
14.1	310.03	0.4	0.5	virtual
15	313.07	0.5	0.5	
16	317.14	0.5	0.5	
Marker Name	D5S818			
5	320.71	0.5	0.5	virtual
6	324.73	0.5	0.5	
7	328.75	0.5	0.5	
8	332.8	0.5	0.5	
9	336.85	0.5	0.5	
10	340.87	0.5	0.5	
10.1	341.88	0.4	0.5	virtual
11	344.9	0.5	0.5	
11.1	345.91	0.4	0.5	virtual
12	348.95	0.5	0.5	
12.1	349.95	0.4	0.5	virtual
12.3	351.94	0.5	0.5	virtual
13	352.94	0.4	0.5	
14	356.95	0.5	0.5	
15	360.95	0.5	0.5	
16	364.99	0.5	0.5	
17	368.97	0.5	0.5	
18	372.98	0.5	0.5	
19	376.99	0.5	0.5	virtual
Marker Name	TPOX			
4	396.08	0.5	0.5	
5	400.13	0.5	0.5	
6	404.12	0.5	0.5	
7	408.13	0.5	0.4	
7.1	409.13	0.4	0.5	virtual
7.3	411.12	0.5	0.4	virtual
8	412.12	0.4	0.5	
