Version	GMID-X v 1.0																			
Chemistry Kit	PowerPlex_21_Panels_IDX_v2.0																			
BinSet Name	PowerPlex_21_Bins_IDX_v2.0																			
Panel Name	PowerPlex_21_IDX_v2.0																			
Marker Name	AMEL																			
25	207.79	0.4	0.5																	
25.2	209.82	0.5	0.4																	
25.3	210.83	0.4	0.4	virtual																
26	211.84	0.4	0.5																	
26.2	213.89	0.5	0.5	virtual																
27	215.94	0.5	0.4																	
27.1	216.94	0.4	0.4	virtual																
27.2	217.95	0.4	0.5	virtual																
28	219.95	0.5	0.4																	
28.1	220.97	0.4	0.4	virtual																
28.2	221.99	0.4	0.4																	
28.3	223	0.4	0.4	virtual																
29	224.01	0.4	0.4																	
29.1	225.02	0.4	0.4	virtual																
29.2	226.03	0.4	0.4																	
29.3	227.06	0.4	0.4	virtual																
30	228.09	0.4	0.4																	
30.1	229.1	0.4	0.4	virtual																
30.2	230.11	0.4	0.4																	
30.3	231.15	0.4	0.4	virtual																
31	232.19	0.4	0.4																	
31.1	233.18	0.4	0.4	virtual																
31.2	234.17	0.4	0.4																	
31.3	235.23	0.4	0.4	virtual																
32	236.28	0.4	0.4																	
32.1	237.29	0.4	0.4	virtual																
32.2	238.3	0.4	0.4																	
32.3	239.37	0.4	0.4	virtual																
33	240.43	0.4	0.4																	
33.1	241.42	0.4	0.4	virtual																
33.2	242.41	0.4	0.4																	
33.3	243.44	0.4	0.4	virtual																
34	244.47	0.4	0.4																	
34.1	245.49	0.4	0.4	virtual																
34.2	246.51	0.4	0.4																	
34.3	247.53	0.4	0.4	virtual																
35	248.55	0.4	0.4																	
35.1	249.58	0.4	0.4	virtual																
35.2	250.61	0.4	0.5																	
36	252.71	0.5	0.4																	
36.1	253.72	0.4	0.4	virtual																
36.2	254.73	0.4	0.5	virtual																
37	256.75	0.5	0.5																	
37.2	258.8	0.5	0.5	virtual																
38	260.85	0.5	0.5																	
38.2	262.9	0.5	0.5	virtual																
39	264.95	0.5	0.5	virtual																
Marker Name	D7S820																			
5	269.64	0.5	0.5																	
5.2	271.69	0.5	0.5	virtual																
6	273.73	0.5	0.5																	
6.3	276.76	0.5	0.4	virtual																
7	277.77	0.4	0.4																	
7.1	278.78	0.4	0.5	virtual																
7.3	280.8	0.5	0.4	virtual																
8	281.81	0.4	0.4																	
8.1	282.82	0.4	0.4	virtual																
8.2	283.82	0.4	0.4	virtual																
8.3	284.83	0.4	0.4	virtual																
9	285.83	0.4	0.4																	
9.1	286.84	0.4	0.4	virtual																
9.2	287.84	0.4	0.4	virtual																
9.3	288.85	0.4	0.4	virtual																
10	289.85	0.4	0.4																	
10.1	290.85	0.4	0.5	virtual																
10.3	292.86	0.5	0.4	virtual																
11	293.86	0.4	0.4																	
11.1	294.86	0.4	0.4	virtual																
11.2	295.87	0.4	0.4	virtual																
11.3	296.87	0.4	0.4	virtual																
12	297.87	0.4	0.4																	
12.1	298.87	0.4	0.5	virtual																
12.3	300.88	0.5	0.4	virtual																
13	301.88	0.4	0.4																	
13.1	302.89	0.4	0.5	virtual																
14	305.93	0.5	0.4																	
14.1	306.95	0.4	0.5	virtual																
15	309.99	0.5	0.5																	
16	314.06	0.5	0.5																	
Marker Name	D5S818																			
5	318.7	0.5	0.5	virtual																
6	322.77	0.5	0.5																	
7	326.84	0.5	0.5																	
8	330.94	0.5	0.5																	
9	335.04	0.5	0.5																	
10	339.11	0.5	0.4																	
10.1	340.14	0.5	0.5	virtual																
11	343.21	0.5	0.4																	
11.1	344.23	0.5	0.5	virtual																
12	347.28	0.5	0.4																	
12.1	348.29	0.5	0.5	virtual																
12.3	350.31	0.5	0.4	virtual																
13	351.32	0.5	0.5																	
14	355.32	0.5	0.5																	
15	359.32	0.5	0.5																	
16	363.3	0.5	0.5																	
17	367.29	0.5	0.5																	
18	371.29	0.5	0.5																	
19	375.29	0.5	0.5	virtual																
Marker Name	TPOX																			
4	394.47	0.5	0.5																	
5	398.52	0.5	0.5																	
6	402.53	0.5	0.5																	
7	406.48	0.5	0.4																	
7.1	407.48	0.4	0.5	virtual																
7.3	409.47	0.5	0.4	virtual																
8	410.46	0.4	0.5																	
9	414.43	0.5	0.5																	
10	418.43	0.5	0.4																	
10.1	419.43	0.4	0.5	virtual																
10.3	421.42	0.5	0.4	virtual																
11	422.42	0.4	0.5																	
12	426.48	0.5	0.5																	
13	430.62	0.5	0.5																	
14	434.74	0.5	0.5																	
15	438.89	0.5	0.5																	
16	443.04	0.5	0.5																	
Marker Name	D8S1179																			
6	67.2	0.5	0.5	virtual																
7	71.61	0.5	0.5																	
8	76.02	0.5	0.5																	
9	80.36	0.5	0.5																	
10	84.71	0.5	0.5																	
11	89.05	0.5	0.5																	
12	93.37	0.5	0.5																	
12.3	96.69	0.5	0.4	virtual																
13	97.8	0.4	0.5																	
13.2	99.97	0.5	0.4	virtual																
13.3	101.06	0.4	0.4	virtual																
14	102.14	0.4	0.4																	
14.1	103.23	0.4	0.5	virtual																
15	106.5	0.5	0.4																	
15.1	107.6	0.4	0.5	virtual																
15.3	109.79	0.5	0.4	virtual																
16	110.88	0.4	0.5																	
17	115.32	0.5	0.5																	
18	119.55	0.5	0.5																	
19	123.93	0.5	0.5																	
20	128.31	0.5	0.4	virtual																
Marker Name	D12S391																			
13	129.85	0.4	0.5	virtual																
14	134.03	0.5	0.5																	
15	138.21	0.5	0.5																	
16	142.37	0.5	0.5																	
17	146.54	0.5	0.5																	
17.1	147.56	0.4	0.5	virtual																
17.3	149.61	0.5	0.5																	
18	150.67	0.4	0.5																	
18.1	151.7	0.4	0.5	virtual																
18.3	153.77	0.5	0.5																	
19	154.83	0.4	0.5																	
19.1	155.86	0.4	0.5	virtual																
19.3	157.93	0.5	0.5	virtual																
20	158.96	0.4	0.5																	
20.1	159.99	0.4	0.5	virtual																
20.3	162.04	0.5	0.5	virtual																
21	163.07	0.4	0.5																	
21.3	166.15	0.5	0.5	virtual																
22	167.18	0.4	0.5																	
22.3	170.35	0.5	0.5	virtual																
23	171.4	0.4	0.5																	
24	175.46	0.5	0.5																	
24.3	178.49	0.5	0.5	virtual																
25	179.5	0.4	0.5																	
26	183.6	0.5	0.5																	
27	187.68	0.5	0.5																	
Marker Name	D19S433																			
5.2	192.72	0.5	0.5																	
6	194.73	0.5	0.5	virtual																
6.2	196.74	0.5	0.5																	
7	198.73	0.5	0.5	virtual																
8	202.71	0.5	0.5																	
8.2	204.71	0.5	0.5	virtual																
9	206.71	0.5	0.5																	
9.2	208.71	0.5	0.5	virtual																
10	210.71	0.5	0.5																	
10.2	212.72	0.5	0.5	virtual																
11	214.73	0.5	0.4																	
11.1	215.73	0.4	0.4	virtual																
11.2	216.73	0.4	0.5	virtual																
12	218.72	0.5	0.4																	
12.1	219.74	0.4	0.4	virtual																
12.2	220.75	0.4	0.5																	
13	222.72	0.5	0.4																	
13.1	223.73	0.4	0.4	virtual																
13.2	224.74	0.4	0.5																	
14	226.74	0.5	0.4																	
14.1	227.76	0.4	0.4	virtual																
14.2	228.78	0.4	0.4																	
14.3	229.78	0.4	0.4	virtual																
15	230.78	0.4	0.5																	
15.2	232.81	0.5	0.5																	
16	234.8	0.5	0.4																	
16.1	235.82	0.4	0.4	virtual																
16.2	236.83	0.4	0.5																	
17	238.84	0.5	0.5																	
17.2	240.87	0.5	0.5																	
18	242.88	0.5	0.5																	
18.1	243.9	0.4	0.4	virtual																
18.2	244.91	0.5	0.5																	
19	246.94	0.5	0.5	virtual																
19.2	248.97	0.5	0.5	virtual																
Marker Name	FGA																			
12.2	261.33	0.5	0.5	virtual																
13	263.3	0.5	0.5	virtual																
14	267.24	0.5	0.5																	
15	271.18	0.5	0.5																	
16	275.1	0.5	0.4																	
16.1	276.06	0.4	0.4	virtual																
16.2	277.03	0.4	0.5	virtual																
17	278.95	0.5	0.5																	
17.2	280.88	0.5	0.5	virtual																
18	282.81	0.5	0.5																	
18.2	284.7	0.5	0.5																	
19	286.67	0.5	0.4																	
19.1	287.62	0.4	0.4	virtual																
19.2	288.57	0.4	0.4																	
19.3	289.55	0.4	0.4	virtual																
20	290.53	0.4	0.4																	
20.1	291.48	0.4	0.4	virtual																
20.2	292.42	0.4	0.4																	
20.3	293.4	0.4	0.4	virtual																
21	294.38	0.4	0.4																	
21.1	295.33	0.4	0.4	virtual																
21.2	296.27	0.4	0.4																	
21.3	297.25	0.4	0.4	virtual																
22	298.23	0.4	0.4																	
22.1	299.17	0.4	0.4	virtual																
22.2	300.11	0.4	0.4																	
22.3	301.1	0.4	0.4	virtual																
23	302.09	0.4	0.4																	
23.1	303.04	0.4	0.4	virtual																
23.2	303.99	0.4	0.4																	
23.3	304.99	0.4	0.4	virtual																
24	305.99	0.4	0.4																	
24.1	306.94	0.4	0.4	virtual																
24.2	307.89	0.4	0.4																	
24.3	308.89	0.4	0.4	virtual																
25	309.88	0.4	0.4																	
25.1	310.84	0.4	0.4	virtual																
25.2	311.8	0.4	0.4																	
25.3	312.8	0.4	0.4	virtual																
26	313.79	0.4	0.4																	
26.1	314.77	0.4	0.4	virtual																
26.2	315.75	0.4	0.4	virtual																
26.3	316.73	0.4	0.4	virtual																
27	317.71	0.4	0.5																	
27.2	319.7	0.5	0.4	virtual																
27.3	320.69	0.4	0.4	virtual																
28	321.68	0.4	0.5																	
28.2	323.65	0.5	0.4	virtual																
28.3	324.64	0.4	0.4	virtual																
29	325.62	0.4	0.4																	
29.1	326.61	0.4	0.4	virtual																
29.2	327.6	0.4	0.5	virtual																
30	329.57	0.5	0.5																	
30.2	331.62	0.5	0.5	virtual																
31	333.67	0.5	0.5	virtual																
31.2	335.72	0.5	0.5																	
32	337.69	0.5	0.5	virtual																
32.2	339.66	0.5	0.5																	
33.2	343.62	0.5	0.5																	
34.2	347.58	0.5	0.5	virtual																
41.2	375.02	0.5	0.5	virtual																
42.2	379	0.5	0.5																	
43.2	382.98	0.5	0.5																	
44.2	386.83	0.5	0.5																	
45.2	390.77	0.5	0.5																	
46.2	394.59	0.5	0.5																	
47.2	398.49	0.5	0.5	virtual																
48.2	402.38	0.5	0.5																	
49.2	406.24	0.5	0.5	virtual																
50.2	410.1	0.5	0.5																	
51.2	413.96	0.5	0.5	virtual																
