Version	GMID-X v 1.0			
Chemistry Kit	PowerPlex_ESX_Panels_IDX_v2.0			
BinSet Name	PowerPlex_ESX_Bins_IDX_v2.0			
Panel Name	PowerPlex_ESX_17_IDX_v2.0			
Marker Name	AMEL			
33.2	340.18	0.5	0.5	
34.2	344.11	0.5	0.5	virtual
41.2	371.5	0.5	0.5	virtual
42.2	375.46	0.5	0.5	
43.2	379.43	0.5	0.5	
44.2	383.29	0.5	0.5	
45.2	387.23	0.5	0.5	
46.2	391.07	0.5	0.5	
47.2	394.97	0.5	0.5	virtual
48.2	398.87	0.5	0.5	
49.2	402.73	0.5	0.5	virtual
50.2	406.58	0.5	0.5	
Marker Name	D2S441			
8	87.98	0.5	0.5	
9	92.05	0.5	0.5	
10	96.11	0.5	0.5	
11	100.21	0.5	0.5	
11.3	103.29	0.5	0.4	
12	104.36	0.5	0.5	
12.3	107.48	0.5	0.4	virtual
13	108.52	0.5	0.5	
13.3	111.64	0.5	0.4	virtual
14	112.67	0.5	0.5	
14.3	115.79	0.5	0.4	virtual
15	116.84	0.5	0.5	
16	120.98	0.5	0.5	
17	125.07	0.5	0.5	
Marker Name	D12S391			
13	128.54	0.5	0.5	virtual
14	132.58	0.5	0.5	
15	136.62	0.5	0.5	
16	140.66	0.5	0.5	
17	144.72	0.5	0.4	
17.1	145.71	0.5	0.5	virtual
17.3	147.7	0.5	0.4	
18	148.77	0.5	0.4	
18.1	149.77	0.5	0.5	virtual
18.3	151.77	0.5	0.4	
19	152.82	0.5	0.4	
19.1	153.83	0.5	0.5	virtual
19.3	155.86	0.5	0.4	virtual
20	156.87	0.5	0.4	
20.1	157.88	0.5	0.5	virtual
20.3	159.89	0.5	0.4	virtual
21	160.9	0.5	0.5	
22	164.93	0.5	0.5	
23	169.06	0.5	0.5	
24	173.05	0.5	0.5	
24.3	176.04	0.5	0.4	virtual
25	177.03	0.5	0.5	
26	181.04	0.5	0.5	
27	185.05	0.5	0.5	
Marker Name	D19S433			
5.2	193.2	0.5	0.5	
6.2	197.15	0.5	0.5	
7	199.12	0.5	0.5	virtual
8	203.04	0.5	0.5	
9	206.99	0.5	0.5	
9.2	208.96	0.5	0.5	virtual
10	210.93	0.5	0.5	
10.2	212.9	0.5	0.5	virtual
11	214.88	0.5	0.5	
11.2	216.85	0.5	0.5	virtual
12	218.83	0.5	0.4	
12.1	219.83	0.5	0.4	virtual
12.2	220.84	0.5	0.5	
13	222.8	0.5	0.5	
13.2	224.79	0.5	0.5	
14	226.77	0.5	0.5	
14.2	228.78	0.5	0.5	
15	230.76	0.5	0.5	
15.2	232.77	0.5	0.5	
16	234.75	0.5	0.5	
16.2	236.75	0.5	0.5	
17	238.73	0.5	0.5	
17.2	240.74	0.5	0.5	
18	242.72	0.5	0.5	
18.2	244.73	0.5	0.5	
19	246.74	0.5	0.5	virtual
19.2	248.73	0.5	0.5	virtual
20	250.75	0.5	0.5	virtual
20.2	252.73	0.5	0.5	virtual
Marker Name	SE33			
4.2	271.22	0.5	0.5	
6.3	280.32	0.5	0.5	
8	285.29	0.5	0.5	
8.2	287.28	0.5	0.5	virtual
9	289.28	0.5	0.5	
9.2	291.27	0.5	0.5	virtual
10	293.26	0.5	0.5	
10.2	295.27	0.5	0.5	virtual
11	297.27	0.5	0.5	
11.2	299.28	0.5	0.5	virtual
12	301.28	0.5	0.5	
12.2	303.3	0.5	0.5	virtual
13	305.32	0.5	0.5	
13.2	307.33	0.5	0.5	virtual
14	309.35	0.5	0.5	
14.2	311.38	0.5	0.4	virtual
14.3	312.4	0.5	0.4	virtual
15	313.41	0.5	0.5	
15.2	315.43	0.5	0.4	virtual
15.3	316.44	0.5	0.4	virtual
16	317.45	0.5	0.5	
16.2	319.49	0.5	0.4	virtual
16.3	320.51	0.5	0.4	virtual
17	321.53	0.5	0.5	
17.2	323.56	0.5	0.5	virtual
18	325.59	0.5	0.5	
18.2	327.64	0.5	0.5	virtual
19	329.69	0.5	0.5	
19.2	331.75	0.5	0.5	virtual
20	333.8	0.5	0.5	
20.2	335.83	0.5	0.5	
21	337.9	0.5	0.5	
21.2	339.93	0.5	0.5	
22	341.98	0.5	0.5	
22.2	344	0.5	0.5	
23.2	348.1	0.5	0.5	
24.2	352.17	0.5	0.5	
25.2	356.18	0.5	0.5	
26.2	360.2	0.5	0.5	
27.2	364.21	0.5	0.5	
28.2	368.23	0.5	0.5	
29.2	372.24	0.5	0.5	
30.2	376.28	0.5	0.5	
31.2	380.38	0.5	0.5	
32.2	384.46	0.5	0.5	
33.2	388.53	0.5	0.5	
34.2	392.62	0.5	0.5	
35	394.65	0.5	0.5	
35.2	396.71	0.5	0.5	virtual
36	398.76	0.5	0.5	
36.2	400.77	0.5	0.5	virtual
37	402.78	0.5	0.5	
37.2	404.77	0.5	0.5	virtual
38	406.77	0.5	0.5	virtual
38.2	408.76	0.5	0.5	virtual
39	410.76	0.5	0.5	
39.2	412.78	0.5	0.5	virtual
42	422.79	0.5	0.5	
