Version	GMID-X v 1.0							
Chemistry Kit	PowerPlexY23_POP7_Panels_IDX_v2.0							
BinSet Name	PowerPlexY23_POP7_Bins_IDX_v2.0							
Panel Name	PowerPlexY23_POP7_IDX_v2.0							
Marker Name	DYS576							
13.1	362.67	0.4	0.4	virtual				
13.2	363.67	0.4	0.5	virtual				
14	365.67	0.5	0.5					
14.2	367.68	0.5	0.5	virtual				
15	369.68	0.5	0.4					
15.1	370.68	0.4	0.5	virtual				
16	373.69	0.5	0.5					
17	377.71	0.5	0.5					
18	381.74	0.5	0.5					
18.2	383.76	0.5	0.5	virtual				
19	385.77	0.5	0.5	virtual				
Marker Name	DYS570							
9	80.25	0.5	0.5	virtual				
10	84.48	0.5	0.5					
11	88.71	0.5	0.5					
12	92.88	0.5	0.5					
13	97.1	0.5	0.5					
13.2	99.2	0.5	0.5	virtual				
14	101.29	0.5	0.5					
14.2	103.42	0.5	0.5	virtual				
15	105.54	0.5	0.5					
15.2	107.64	0.5	0.5	virtual				
16	109.74	0.5	0.4					
16.1	110.8	0.4	0.4	virtual				
16.2	111.85	0.4	0.5	virtual				
17	113.96	0.5	0.5					
17.2	116.06	0.5	0.4	virtual				
17.3	117.1	0.4	0.4	virtual				
18	118.15	0.5	0.5					
18.2	120.19	0.5	0.4	virtual				
18.3	121.21	0.4	0.4	virtual				
19	122.23	0.4	0.5					
19.3	125.29	0.5	0.4	virtual				
20	126.31	0.4	0.5					
20.3	129.32	0.5	0.4	virtual				
21	130.32	0.4	0.5					
22	134.34	0.5	0.5					
22.2	136.34	0.5	0.5	virtual				
23	138.34	0.5	0.5					
24	142.32	0.5	0.5					
25	146.3	0.5	0.5					
Marker Name	DYS635							
15	153.68	0.4	0.5					
16	157.82	0.5	0.5					
17	161.95	0.5	0.5					
18	166.03	0.5	0.5					
18.3	169.08	0.5	0.4	virtual				
19	170.1	0.4	0.5					
20	174.2	0.5	0.4					
20.1	175.21	0.4	0.5	virtual				
20.3	177.24	0.5	0.4	virtual				
21	178.25	0.4	0.5					
21.3	181.3	0.5	0.4	virtual				
22	182.31	0.4	0.5					
22.3	185.36	0.5	0.4	virtual				
23	186.37	0.4	0.4					
23.1	187.38	0.4	0.5	virtual				
24	190.42	0.5	0.5					
25	194.49	0.5	0.5					
26	198.56	0.5	0.5					
27	202.62	0.5	0.5					
28	206.67	0.5	0.5					
28.2	208.7	0.5	0.5	virtual				
Marker Name	DYS390							
17	212.14	0.4	0.5					
18	216.22	0.5	0.5					
19	220.29	0.5	0.5					
20	224.37	0.5	0.5					
21	228.45	0.5	0.4					
21.1	229.47	0.4	0.5	virtual				
22	232.54	0.5	0.5					
23	236.61	0.5	0.5					
23.2	238.67	0.5	0.5	virtual				
24	240.72	0.5	0.4					
24.1	241.74	0.4	0.5	virtual				
24.3	243.78	0.5	0.4	virtual				
25	244.8	0.4	0.5					
26	248.93	0.5	0.5					
27	253	0.5	0.5					
28	257.13	0.5	0.5					
29	261.21	0.5	0.4					
Marker Name	DYS439							
6	266.59	0.5	0.5					
7	270.7	0.5	0.5					
8	274.8	0.5	0.5					
9	278.85	0.5	0.5					
10	282.91	0.5	0.4					
10.1	283.92	0.4	0.4	virtual				
10.2	284.93	0.4	0.4	virtual				
10.3	285.94	0.4	0.4	virtual				
11	286.95	0.4	0.4					
11.1	287.96	0.4	0.5	virtual				
11.3	289.99	0.5	0.4	virtual				
12	291	0.4	0.5					
13	295.04	0.5	0.4					
13.1	296.05	0.4	0.5	virtual				
14	299.09	0.5	0.5					
15	303.14	0.5	0.5					
16	307.19	0.5	0.5					
17	311.26	0.5	0.5					
18	315.33	0.5	0.4	virtual				
Marker Name	DYS392							
4	317.21	0.4	0.5					
5	320.22	0.5	0.5					
6	323.19	0.5	0.5					
7	326.21	0.5	0.5					
8	329.23	0.5	0.5					
9	332.21	0.5	0.5					
10	335.26	0.5	0.5					
10.2	337.27	0.5	0.4	virtual				
11	338.27	0.4	0.4					
11.1	339.27	0.4	0.4	virtual				
11.2	340.27	0.4	0.4	virtual				
12	341.27	0.4	0.5					
12.2	343.28	0.5	0.4	virtual				
13	344.28	0.4	0.4					
13.1	345.28	0.4	0.4	virtual				
13.2	346.29	0.4	0.4	virtual				
14	347.29	0.4	0.4					
14.1	348.3	0.4	0.4	virtual				
14.2	349.32	0.4	0.4	virtual				
15	350.33	0.4	0.5					
16	353.3	0.5	0.5					
17	356.3	0.5	0.5					
18	359.27	0.5	0.5					
19	362.28	0.5	0.5					
20	365.29	0.5	0.5					
Marker Name	DYS643							
5	369.78	0.5	0.5	virtual				
6	374.97	0.5	0.5					
7	380.16	0.5	0.5					
8	385.35	0.5	0.5					
9	390.56	0.5	0.5					
9.2	392.64	0.5	0.5	virtual				
10	395.76	0.5	0.4					
10.1	396.8	0.4	0.5	virtual				
11	400.94	0.5	0.4					
11.1	401.96	0.4	0.5	virtual				
12	406.06	0.5	0.5					
13	411.21	0.5	0.5					
14	416.35	0.5	0.5					
15	421.49	0.5	0.5					
16	426.65	0.5	0.5					
17	431.88	0.5	0.5					
18	437.11	0.5	0.5	virtual				
Marker Name	DYS393							
6	98.36	0.5	0.5	virtual				
7	102.75	0.5	0.5					
8	107.14	0.5	0.5					
9	111.55	0.5	0.5					
10	115.88	0.5	0.5					
11	120.21	0.5	0.5					
12	124.41	0.5	0.4					
12.1	125.47	0.4	0.4	virtual				
12.2	126.52	0.4	0.5	virtual				
13	128.63	0.5	0.5					
14	132.78	0.5	0.5					
15	136.94	0.5	0.5					
16	141.05	0.5	0.5					
17	145.17	0.5	0.5					
18	149.3	0.5	0.5					
19	153.43	0.5	0.5	virtual				
Marker Name	DYS458							
10	161.05	0.5	0.5					
10.3	163.95	0.5	0.4	virtual				
11	164.91	0.4	0.5					
12	168.74	0.5	0.5					
12.2	170.66	0.5	0.5	virtual				
13	172.58	0.5	0.5					
13.2	174.51	0.5	0.5	virtual				
14	176.44	0.5	0.4					
14.1	177.4	0.4	0.4	virtual				
14.2	178.35	0.4	0.4	virtual				
14.3	179.31	0.4	0.4	virtual				
15	180.26	0.4	0.4					
15.1	181.22	0.4	0.4	virtual				
15.2	182.18	0.4	0.5	virtual				
16	184.09	0.5	0.4					
16.1	185.05	0.4	0.4	virtual				
16.2	186.01	0.4	0.4	virtual				
16.3	186.96	0.4	0.4	virtual				
17	187.92	0.4	0.4					
17.1	188.88	0.4	0.4	virtual				
17.2	189.84	0.4	0.4	virtual				
17.3	190.79	0.4	0.4	virtual				
18	191.75	0.4	0.4					
18.1	192.71	0.4	0.4	virtual				
18.2	193.66	0.4	0.4	virtual				
18.3	194.62	0.4	0.4	virtual				
19	195.57	0.4	0.4					
19.1	196.53	0.4	0.4	virtual				
19.2	197.49	0.4	0.5	virtual				
20	199.41	0.5	0.4					
20.1	200.37	0.4	0.4	virtual				
20.2	201.33	0.4	0.5	virtual				
21	203.25	0.5	0.4					
21.1	204.21	0.4	0.4	virtual				
21.2	205.18	0.4	0.5	virtual				
22	207.1	0.5	0.5					
22.2	209.02	0.5	0.5	virtual				
23	210.94	0.5	0.5					
23.2	212.86	0.5	0.5	virtual				
24	214.77	0.5	0.5					
Marker Name	DYS385 a/b							
6	226.8	0.5	0.5	virtual				
7	230.93	0.5	0.5					
8	235.06	0.5	0.5					
8.3	238.17	0.5	0.4	virtual				
9	239.21	0.4	0.4					
9.1	240.24	0.4	0.4	virtual				
9.2	241.28	0.4	0.4	virtual				
9.3	242.31	0.4	0.4	virtual				
10	243.34	0.4	0.4					
10.1	244.38	0.4	0.4	virtual				
10.2	245.43	0.4	0.5	virtual				
11	247.51	0.5	0.5					
11.2	249.58	0.5	0.4	virtual				
11.3	250.61	0.4	0.4	virtual				
12	251.64	0.4	0.4					
12.1	252.68	0.4	0.4	virtual				
12.2	253.72	0.4	0.4	virtual				
12.3	254.76	0.4	0.4	virtual				
13	255.8	0.4	0.4					
13.1	256.84	0.4	0.4	virtual				
13.2	257.88	0.4	0.4	virtual				
13.3	258.91	0.4	0.4	virtual				
14	259.95	0.4	0.5					
14.2	262.03	0.5	0.4	virtual				
14.3	263.07	0.4	0.4	virtual				
15	264.11	0.4	0.4					
15.1	265.14	0.4	0.4	virtual				
15.2	266.18	0.4	0.4	virtual				
15.3	267.21	0.4	0.4	virtual				
16	268.24	0.4	0.4					
16.1	269.27	0.4	0.4	virtual				
16.2	270.31	0.4	0.4	virtual				
16.3	271.34	0.4	0.4	virtual				
17	272.37	0.4	0.4					
17.1	273.4	0.4	0.4	virtual				
17.2	274.43	0.4	0.4	virtual				
17.3	275.46	0.4	0.4	virtual				
18	276.49	0.4	0.4					
18.1	277.51	0.4	0.4	virtual				
18.2	278.53	0.4	0.5	virtual				
19	280.57	0.5	0.4					
19.1	281.6	0.4	0.4	virtual				
19.2	282.62	0.4	0.4	virtual				
19.3	283.65	0.4	0.4	virtual				
20	284.67	0.4	0.5					
20.2	286.71	0.5	0.5	virtual				
21	288.74	0.5	0.5					
22	292.81	0.5	0.5					
23	296.88	0.5	0.5					
24	300.98	0.5	0.5					
25	305.05	0.5	0.5					
26	309.15	0.5	0.5					
27	313.26	0.5	0.5					
28	317.37	0.5	0.5					
Marker Name	DYS456							
11	321.65	0.5	0.5					
12	325.71	0.5	0.5					
13	329.76	0.5	0.5					
14	333.86	0.5	0.5					
15	337.96	0.5	0.4					
15.1	338.98	0.4	0.5	virtual				
15.3	341.01	0.5	0.4	virtual				
16	342.02	0.4	0.4					
16.1	343.05	0.4	0.5	virtual				
16.3	345.1	0.5	0.4	virtual				
17	346.12	0.4	0.5					
18	350.2	0.5	0.5					
18.2	352.23	0.5	0.4	virtual				
18.3	353.24	0.4	0.4	virtual				
19	354.25	0.4	0.4					
19.1	355.26	0.4	0.5	virtual				
20	358.3	0.5	0.5					
21	362.37	0.5	0.5					
22	366.41	0.5	0.5					
23	370.48	0.5	0.5					
24	374.55	0.5	0.4	virtual				
Marker Name	Y-GATA-H4							
7	376	0.4	0.5	virtual				
8	380.14	0.5	0.5					
9	384.28	0.5	0.5					
10	388.33	0.5	0.5					
11	392.47	0.5	0.5					
11.2	394.5	0.5	0.4	virtual				
11.3	395.52	0.4	0.4	virtual				
12	396.53	0.4	0.5					
13	400.6	0.5	0.5					
14	404.64	0.5	0.4					
14.1	405.66	0.4	0.5	virtual				
15	408.7	0.5	0.4					
15.1	409.71	0.4	0.5	virtual				
16	412.73	0.5	0.5					
17	416.76	0.5	0.5					
18	420.8	0.5	0.5					
